index,rand
1,50
2,51
3,51
4,50
5,48
6,46
7,50
8,50
9,46
10,47
11,52
12,54
13,46
14,50
15,52
16,53
17,46
18,50
19,53
20,47
21,49
22,49
23,49
24,52
25,52
26,47
27,50
28,53
29,55
30,53
31,52
32,49
33,53
34,46
35,49
36,48
37,50
38,50
39,53
40,49
41,52
42,52
43,50
44,51
45,50
46,51
47,51
48,50
49,54
50,54
51,51
52,49
53,50
54,53
55,47
56,48
57,52
58,48
59,48
60,48
61,55
62,55
63,55
64,47
65,48
66,45
67,50
68,49
69,45
70,51
71,50
72,51
73,50
74,53
75,45
76,53
77,51
78,49
79,47
80,48
81,51
82,51
83,52
84,54
85,48
86,46
87,53
88,52
89,51
90,49
91,51
92,47
93,46
94,50
95,42
96,51
97,47
98,48
99,48
100,49
101,53
102,50
103,46
104,54
105,51
106,48
107,52
108,48
109,50
110,46
111,56
112,46
113,51
114,49
115,51
116,55
117,51
118,45
119,48
120,52
121,46
122,52
123,50
124,49
125,52
126,53
127,43
128,47
129,52
130,50
131,50
132,51
133,51
134,52
135,49
136,47
137,51
138,46
139,46
140,50
141,49
142,50
143,51
144,50
145,51
146,51
147,53
148,56
149,49
150,55
151,46
152,51
153,47
154,49
155,51
156,50
157,49
158,50
159,49
160,54
161,54
162,52
163,49
164,49
165,53
166,49
167,53
168,53
169,50
170,52
171,49
172,49
173,50
174,50
175,46
176,52
177,47
178,50
179,47
180,45
181,57
182,48
183,52
184,49
185,51
186,52
187,48
188,50
189,51
190,50
191,52
192,48
193,51
194,53
195,50
196,49
197,46
198,50
199,50
200,49
