index,rand
1,53
2,49
3,49
4,49
5,47
6,49
7,47
8,53
9,55
10,50
11,51
12,52
13,50
14,50
15,47
16,53
17,54
18,47
19,53
20,50
21,53
22,51
23,46
24,49
25,53
26,47
27,50
28,51
29,52
30,50
31,51
32,50
33,52
34,50
35,50
36,49
37,51
38,47
39,49
40,52
41,50
42,52
43,52
44,50
45,52
46,52
47,46
48,51
49,50
50,54
51,54
52,48
53,55
54,49
55,51
56,51
57,47
58,50
59,51
60,50
61,48
62,51
63,55
64,47
65,50
66,47
67,52
68,50
69,47
70,51
71,47
72,48
73,46
74,50
75,50
76,50
77,54
78,52
79,51
80,52
81,46
82,48
83,50
84,56
85,55
86,50
87,48
88,49
89,50
90,50
91,50
92,49
93,50
94,49
95,50
96,52
97,51
98,54
99,50
100,51
101,50
102,51
103,51
104,47
105,54
106,48
107,53
108,47
109,50
110,47
111,52
112,52
113,52
114,48
115,48
116,51
117,50
118,52
119,55
120,54
121,50
122,50
123,50
124,52
125,49
126,50
127,55
128,51
129,54
130,50
131,53
132,50
133,51
134,47
135,49
136,50
137,50
138,51
139,49
140,48
141,50
142,52
143,52
144,50
145,50
146,50
147,49
148,51
149,56
150,53
151,55
152,52
153,52
154,53
155,48
156,52
157,53
158,51
159,54
160,49
161,49
162,49
163,49
164,44
165,47
166,48
167,52
168,48
169,55
170,46
171,49
172,51
173,48
174,48
175,55
176,46
177,52
178,53
179,53
180,54
181,50
182,53
183,53
184,51
185,56
186,52
187,50
188,42
189,49
190,53
191,50
192,49
193,49
194,48
195,50
196,46
197,50
198,55
199,49
200,47
