index,rand
1,50
2,48
3,46
4,52
5,52
6,50
7,51
8,50
9,53
10,45
11,48
12,51
13,50
14,47
15,51
16,51
17,49
18,47
19,50
20,46
21,54
22,48
23,51
24,52
25,47
26,50
27,48
28,51
29,55
30,51
31,55
32,49
33,53
34,52
35,48
36,51
37,50
38,49
39,47
40,48
41,52
42,55
43,52
44,50
45,51
46,51
47,49
48,50
49,51
50,55
51,51
52,50
53,49
54,49
55,46
56,49
57,54
58,48
59,47
60,50
61,46
62,53
63,54
64,50
65,46
66,52
67,50
68,51
69,48
70,45
71,50
72,51
73,43
74,50
75,52
76,52
77,51
78,52
79,51
80,54
81,53
82,49
83,51
84,46
85,54
86,49
87,49
88,53
89,45
90,49
91,50
92,51
93,51
94,54
95,53
96,53
97,50
98,48
99,50
100,50
101,53
102,51
103,56
104,55
105,52
106,59
107,50
108,45
109,52
110,52
111,46
112,49
113,52
114,50
115,53
116,50
117,48
118,50
119,50
120,49
121,54
122,47
123,50
124,49
125,57
126,49
127,48
128,50
129,51
130,53
131,48
132,47
133,51
134,51
135,47
136,51
137,44
138,51
139,51
140,53
141,49
142,52
143,50
144,50
145,49
146,50
147,49
148,54
149,49
150,48
151,48
152,46
153,50
154,47
155,49
156,50
157,51
158,50
159,49
160,51
161,51
162,52
163,51
164,53
165,47
166,53
167,54
168,50
169,49
170,50
171,48
172,48
173,50
174,50
175,52
176,48
177,48
178,49
179,53
180,48
181,53
182,46
183,52
184,48
185,53
186,48
187,53
188,54
189,53
190,52
191,51
192,49
193,51
194,49
195,49
196,49
197,53
198,49
199,46
200,54
